entity,entity_type,source_doc_id,method,confidence,evidence
"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",DoiTuongApDung,133858,gemini,0.85,"Đối tượng áp dụng Nghị định này bao gồm: Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; Các đơn vị sự nghiệp công lập; Các doanh nghiệp; Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
Các đơn vị sự nghiệp công lập,DoiTuongApDung,133858,gemini,0.85,"Đối tượng áp dụng Nghị định này bao gồm: Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; Các đơn vị sự nghiệp công lập; Các doanh nghiệp; Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
Các doanh nghiệp,DoiTuongApDung,133858,gemini,0.85,"Đối tượng áp dụng Nghị định này bao gồm: Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; Các đơn vị sự nghiệp công lập; Các doanh nghiệp; Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",DoiTuongApDung,133858,gemini,0.85,"Đối tượng áp dụng Nghị định này bao gồm: Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; Các đơn vị sự nghiệp công lập; Các doanh nghiệp; Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
Kiểm toán,LinhVuc,133858,gemini,0.9,
Kế toán,LinhVuc,133858,gemini,0.9,
Ngân hàng Nhà nước Việt Nam,CoQuan,169221,gemini,0.9,
Thống đốc,NguoiKy,169221,gemini,0.9,
Cục Quản lý dự trữ ngoại hối nhà nước,DoiTuongApDung,169221,gemini,0.85,"Cục Quản lý dự trữ ngoại hối nhà nước chủ trì, phối hợp với Vụ Chính sách tiền tệ, Vụ Quản lý ngoại hối và Vụ Dự báo, thống kê"
Vụ Chính sách tiền tệ,DoiTuongApDung,169221,gemini,0.85,"Cục Quản lý dự trữ ngoại hối nhà nước chủ trì, phối hợp với Vụ Chính sách tiền tệ, Vụ Quản lý ngoại hối và Vụ Dự báo, thống kê"
Vụ Quản lý ngoại hối,DoiTuongApDung,169221,gemini,0.85,"Cục Quản lý dự trữ ngoại hối nhà nước chủ trì, phối hợp với Vụ Chính sách tiền tệ, Vụ Quản lý ngoại hối và Vụ Dự báo, thống kê"
"Vụ Dự báo, thống kê",DoiTuongApDung,169221,gemini,0.85,"Cục Quản lý dự trữ ngoại hối nhà nước chủ trì, phối hợp với Vụ Chính sách tiền tệ, Vụ Quản lý ngoại hối và Vụ Dự báo, thống kê"
Các đơn vị có liên quan,DoiTuongApDung,169221,gemini,0.85,"Cục Quản lý dự trữ ngoại hối nhà nước chủ trì, phối hợp với Vụ Chính sách tiền tệ, Vụ Quản lý ngoại hối và Vụ Dự báo, thống kê"
Ngân hàng,LinhVuc,169221,gemini,0.9,
Ngoại hối,LinhVuc,169221,gemini,0.9,
Tín dụng,LinhVuc,169221,gemini,0.9,
CHÍNH PHỦ,CoQuan,95652,gemini,0.9,
Nhà đầu tư gồm các tổ chức kinh tế và cá nhân có quốc tịch Việt Nam,DoiTuongApDung,95652,gemini,0.85,Điều 2. Đối tượng áp dụng 1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài,DoiTuongApDung,95652,gemini,0.85,Điều 2. Đối tượng áp dụng 1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",DoiTuongApDung,95652,gemini,0.85,Điều 2. Đối tượng áp dụng 1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
Đầu tư,LinhVuc,95652,gemini,0.9,
Tín dụng,LinhVuc,95652,gemini,0.9,
Chứng khoán,LinhVuc,95652,gemini,0.9,
Bảo hiểm,LinhVuc,95652,gemini,0.9,
Ngân hàng,LinhVuc,95652,gemini,0.9,
Ngoại hối,LinhVuc,95652,gemini,0.9,
Chính phủ,CoQuan,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.9,
"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.85,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
Chứng khoán,LinhVuc,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.9,
Bộ Tài chính,CoQuan,30402,gemini,0.9,
"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam.",DoiTuongApDung,30402,gemini,0.85,"Thông tư này quy định về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán theo quy định tại điểm i khoản 2 Điều 11 Luật kiểm toán độc lập."
"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán).",DoiTuongApDung,30402,gemini,0.85,"Thông tư này quy định về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán theo quy định tại điểm i khoản 2 Điều 11 Luật kiểm toán độc lập."
"Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán.",DoiTuongApDung,30402,gemini,0.85,"Thông tư này quy định về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán theo quy định tại điểm i khoản 2 Điều 11 Luật kiểm toán độc lập."
Kiểm toán,LinhVuc,30402,gemini,0.9,
Kiểm toán độc lập,LinhVuc,30402,gemini,0.9,
Ngân hàng Nhà nước Việt Nam,CoQuan,173460,gemini,0.9,
Công ty tài chính tổng hợp,DoiTuongApDung,173460,gemini,0.85,"Điều 2. Đối tượng áp dụng 1. Công ty tài chính tổng hợp. 2. Công ty tài chính chuyên ngành. 3. Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng."
Công ty tài chính chuyên ngành,DoiTuongApDung,173460,gemini,0.85,"Điều 2. Đối tượng áp dụng 1. Công ty tài chính tổng hợp. 2. Công ty tài chính chuyên ngành. 3. Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng."
"Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng",DoiTuongApDung,173460,gemini,0.85,"Điều 2. Đối tượng áp dụng 1. Công ty tài chính tổng hợp. 2. Công ty tài chính chuyên ngành. 3. Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng."
Ngân hàng,LinhVuc,173460,gemini,0.9,
Tín dụng,LinhVuc,173460,gemini,0.9,
Ngân hàng Nhà nước Việt Nam,CoQuan,27257,gemini,0.9,
Tổ chức tín dụng,DoiTuongApDung,27257,gemini,0.85,"1. Tổ chức tín dụng; 2. Chi nhánh ngân hàng nước ngoài; 3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,27257,gemini,0.85,"1. Tổ chức tín dụng; 2. Chi nhánh ngân hàng nước ngoài; 3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
"Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",DoiTuongApDung,27257,gemini,0.85,"1. Tổ chức tín dụng; 2. Chi nhánh ngân hàng nước ngoài; 3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
Ngân hàng,LinhVuc,27257,gemini,0.9,
Tín dụng,LinhVuc,27257,gemini,0.9,
Bộ Tài chính,CoQuan,143217,gemini,0.9,
Đỗ Hoàng Anh Tuấn,NguoiKy,143217,gemini,0.9,
Doanh nghiệp,DoiTuongApDung,143217,gemini,0.85,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
Kiểm toán,LinhVuc,143217,gemini,0.9,
Kế toán,LinhVuc,143217,gemini,0.9,
Ngân hàng Nhà nước Việt Nam,CoQuan,168859,gemini,0.9,
Thống đốc Ngân hàng Nhà nước Việt Nam,NguoiKy,168859,gemini,0.9,
Quỹ tín dụng nhân dân,DoiTuongApDung,168859,gemini,0.85,"Điều 2. Đối tượng áp dụng 1. Quỹ tín dụng nhân dân. 2. Ngân hàng hợp tác xã. 3. Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân."
Ngân hàng hợp tác xã,DoiTuongApDung,168859,gemini,0.85,"Điều 2. Đối tượng áp dụng 1. Quỹ tín dụng nhân dân. 2. Ngân hàng hợp tác xã. 3. Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân."
"Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân",DoiTuongApDung,168859,gemini,0.85,"Điều 2. Đối tượng áp dụng 1. Quỹ tín dụng nhân dân. 2. Ngân hàng hợp tác xã. 3. Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân."
Ngân hàng,LinhVuc,168859,gemini,0.9,
Tín dụng,LinhVuc,168859,gemini,0.9,
